userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
userid1,1030,23,152
userid1,1001,97,93
userid2,260,125,124
userid2,640,45,54
userid3,700,125,186
userid1,1000,55,120
userid3,700,125,186
userid3,700,125,186
userid3,700,125,186
